word1           word2           human      Lin                  Resnik               Word2Vec            
tiger           cat                   7.35        2.08751967496        2.22415047123        3.12890718356
tiger           tiger                 10.0                 10.0        12.2683753357                 10.0
book            paper                 7.46        1.21435702847       0.801759114954        4.54216052764
computer        keyboard              7.62        3.73790842348        4.07648147539        4.41461116329
computer        internet              7.58         3.3019042951        3.25767902589        5.85778239361
plane           car                   5.77        7.19433907227         5.9217647907          3.815215856
train           car                   6.31        6.78666605267        5.76892251967        4.67336290171
telephone       communication          7.5                 -0.0                 -0.0            4.7189108
television      radio                 6.77        9.03651058702         8.9243363679        6.78969970542
media           radio                 7.42        8.32276006697        7.02076663917         4.7276283462
drug            abuse                 6.85                 -0.0                 -0.0        4.46892629046
bread           butter                6.19        7.11420490146        6.87981109133        6.22563474149
cucumber        potato                5.92   1.60351822991e-299       0.801759114954        4.51946890263
doctor          nurse                  7.0        8.35153474709        7.93035864205        5.85981815005
professor       doctor                6.62        7.03652661045        6.39406901951        4.19536692897
student         professor             6.81        2.62086070233        2.33354524374        4.57916631053
smart           student               4.62                 -0.0                 -0.0        2.30275169488
smart           stupid                5.81                 -0.0                 -0.0        4.27613157265
company         stock                 7.08       0.696495274757       0.596229207898        4.69498332677
stock           market                8.08        0.65637188692       0.596229207898        6.74350671597
stock           phone                 1.62                 -0.0                 -0.0        2.39012450434
stock           cd                    1.31         2.7831294182        3.03657793231        1.04368505171
stock           jaguar                0.92                 -0.0                 -0.0       0.633369713273
stock           egg                   1.81                 -0.0                 -0.0         1.4255410002
fertility       egg                   6.69                 -0.0                 -0.0        2.26474289364
stock           live                  3.73                  0.0                    0        1.32299553039
stock           life                  0.92       0.690370931333       0.596229207898        2.27085930566
book            library               7.46        2.65820778874        2.30584873145        4.16531315941
bank            money                 8.12                 -0.0                 -0.0        4.36305402235
wood            forest                7.73       0.681257319639       0.596229207898        3.98387505713
money           cash                  9.08        7.88883912642         6.2549318819        7.33621481622
professor       cucumber              0.31   4.44830094246e-299        2.22415047123      -0.541788898086
king            cabbage               0.23       0.866504753489       0.801759114954      -0.147216391789
king            queen                 8.58        2.58721359921        2.22415047123        6.33646869708
king            rook                  5.92        1.64185956585        1.53183374322        1.91437242742
bishop          rabbi                 6.69        6.65565090043        6.96175916636        3.31894699094
football        soccer                9.03        9.05753005526        11.0644025314        7.68259171264
football        basketball            6.81        7.53602502571        8.71620692715        7.34102401935
football        tennis                6.63        7.69995504593        8.71620692715        4.62979402186
tennis          racket                7.56        1.69967436194        2.03632771779        3.43211829804
law             lawyer                8.38                 -0.0                 -0.0        4.49278778787
movie           star                  7.38        1.89326851753        1.53183374322        5.04510954091
movie           popcorn               6.19   3.06366748644e-299        1.53183374322        3.06928783637
movie           critic                6.73        1.80279911542        1.53183374322        2.73798697691
movie           theater               7.92        2.93316464934        2.30584873145        4.78466820353
physics         proton                8.12                 -0.0                 -0.0        1.08244631818
physics         chemistry             7.35        8.17907088214        8.71620692715        7.37989528155
space           chemistry             4.88       0.595349255092       0.596229207898        1.74102531462
alcohol         chemistry             5.54       0.622354271469       0.596229207898        1.52188938092
vodka           gin                   8.46   1.77122562358e-298        8.85612811788        5.97314919131
vodka           brandy                8.13   1.77122562358e-298        8.85612811788        5.51504008163
drink           car                   3.04                 -0.0                 -0.0        2.27572472336
drink           ear                   1.31                 -0.0                 -0.0        1.02494786864
drink           mouth                 5.96                 -0.0                 -0.0        2.47869745629
drink           eat                   6.87        5.78677923615        4.72142537494        6.12131297358
baby            mother                7.85        6.31591318989        5.71049279143        5.44944595919
drink           mother                2.65                 -0.0                 -0.0        2.05632602227
car             automobile            8.94                 10.0        7.59140141761        5.95572844971
gem             jewel                 8.96        2.12592108325        2.30584873145        4.82554531588
journey         voyage                9.29        6.96917657303        6.18033877899        6.58505611554
boy             lad                   8.83        6.14739635144        5.33214058542        3.04399377361
coast           shore                  9.1        9.63217380462        9.41574390581        5.11332195626
asylum          madhouse              8.87        3.44587730996         3.9793661552       0.139285318753
magician        wizard                9.02        2.15909256825        2.33354524374        4.95469404713
midday          noon                  9.29                 10.0        11.0644025314        6.87141695722
furnace         stove                 8.79         2.2813808925        2.30584873145        5.57694015523
food            fruit                 7.52        1.27953712297       0.801759114954        4.26590394239
bird            cock                   7.1       0.938786241169       0.801759114954        2.40727426506
bird            crane                 7.38        2.18572591514        2.22415047123        2.92822430472
tool            implement             6.46         9.4715427958        5.87738923441        2.86680570871
brother         monk                  6.27        2.48628174807        2.33354524374        3.12644804822
crane           implement             2.69        1.65146329358        1.53183374322      -0.106873801804
lad             brother               4.46        2.52850295148        2.33354524374        1.40601596292
journey         car                   5.85                 -0.0                 -0.0        1.84544010078
monk            oracle                 5.0        2.25652216528        2.33354524374      -0.472256023754
cemetery        woodland              2.08        1.23440843782        1.29002568096        3.07024959262
food            rooster               4.42       0.919318609316       0.801759114954       0.390649316155
coast           hill                  4.38        5.99113162882        5.88468103077        1.65432691439
forest          graveyard             1.85                 -0.0                 -0.0        1.11734953554
shore           woodland              3.08        1.35582996963        1.29002568096          1.397007882
monk            slave                 0.92        2.54310820194        2.33354524374       0.885525685486
